"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"012391";"De Sal Rei";0;821838.821629643;821838.821629643;821838.821629643;821838.821629643;821838.821629643;821838.821629643;821838.821629643;821838.821629643;821838.821629643;709897355.937543;709897355.937543;709897355.937543;714623085.487387;723456406.545145;736401895.27519;757772423.728987;785515223.861685;831343760.927903;870393442.36666;902247459.095144;945403292.559606;986912571.954014;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"2";"000353";"Boa Vista";0;690570453.043321;690570453.043321;690570453.043321;690570453.043321;690570453.043321;690570453.043321;690570453.043321;690570453.043321;690570453.043321;709897355.937543;709897355.937543;709897355.937543;714623085.487387;723456406.545145;736401895.27519;757772423.728987;785515223.861685;831343760.927903;870393442.36666;902247459.095144;945403292.559606;986912571.954014;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"3";"999900000009";"S-AP0000000-9";0;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;14178867.5007968;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"4";"999000000010";"S-AP0000000-10";0;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1437655.08517087;1848436.59242177;723456406.545145;736401895.27519;757772423.728987;785515223.861685;831343760.927903;870393442.36666;902247459.095144;945403292.559606;986912571.954014;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"5";"999000000011";"S-AP0000000-11";0;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738;7381400.22524738
"6";"000690";"Sal";0;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103;1025152.54807103
"7";"999900045001";"S-BP0004500-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;41379743.4203287;41379743.4203287;41379743.4203287;41379743.4203287;41997427.528953;43438449.4736981;45497295.7137364;49408903.074869;53526461.1321464;58467608.3380322;65879520.2565006;88522020.9208602;112816115.048538;149667981.336939;179522019.517138;235510163.681172;275031610.565728;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"8";"999900060009";"S-BP0006000-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1848565.89068103;723456406.545145;736401895.27519;757772423.728987;785515223.861685;831343760.927903;870393442.36666;902247459.095144;945403292.559606;986912571.954014;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"9";"999900080003";"S-BP0008000-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1234852.6433115;1440647.30936003;2263866.23295224;4116111.53732419;88522020.9208602;112816115.048538;149667981.336939;179522019.517138;235510163.681172;275031610.565728;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"10";"999900080006";"S-BP0008000-6";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3493656.93697667;831343760.927903;870393442.36666;902247459.095144;945403292.559606;986912571.954014;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"11";"999900090003";"S-BP0009000-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2469872.61111057;4733891.44404495;88522020.9208602;112816115.048538;149667981.336939;179522019.517138;235510163.681172;275031610.565728;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"12";"999900105002";"S-BP0010500-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2676191.6956557;3911335.92555392;5764127.59673095;6793459.4625802;8440263.53019798;9675454.3296144;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"13";"999900115005";"S-BP0011500-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4939454.06666756;235510163.681172;275031610.565728;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"14";"999900115006";"S-BP0011500-6";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6174216.72986817;235510163.681172;275031610.565728;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"15";"999900115007";"S-BP0011500-7";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2881762.58680534;235510163.681172;275031610.565728;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"16";"999900120002";"S-BP0012000-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1441080.42023861;3293865.12118948;341931025.817297;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
"17";"999900120004";"S-BP0012000-4";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4319568.81364036;1257598653.38792;1346189541.46541;1840335389.11664;2070886079.86134;2310580431.2141;2345330691.04935;2379880233.28977;2410728833.78013;2426561842.4622;2441780110.00936;2455353838.62517;2469541648.61037;2477976499.9036;2485790222.24326;2492165915.87573;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48094;2529801377.8541;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71812;2588409060.7203;2603420531.47149;2617406936.86636;2623779753.29727
