"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"054001";"Isla Gardner";0;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;854572.829779685;1281858.14917001;1281858.14917001;1495501.54533464;1709145.668643;1709145.668643;1922787.24330056;2136432.0943206;2563722.27141306;2563722.27141306;2563722.27141306;2563722.27141306;2563722.27141306;2563722.27141306;2563722.27141306;3204648.09090711;3204648.09090711;3204648.09090711;3418291.13626811;3845579.7129024;3845579.7129024;4059223.61420618;4272867.34709422;5127443.14451462;5768370.24775186
"2";"000799";"Floreana";0;187367745.587206;187367745.587206;187367745.587206;186940461.998826;186940461.998826;186940461.998826;186940461.998826;186940461.998826;187367745.587206;187367745.587206;187367745.587206;187367745.587206;187367745.587206;191640726.049316;192708957.893663;195059078.710069;197836469.430659;198904693.438425;200400220.154913;202323024.257646;204886719.509573;208518666.246942;212150646.084705;217278119.71759;221978336.74595;228601321.930057;238001890.272004;244411291.000501;259152790.081385;275176158.237928;279449064.255352;283721937.931379;287140322.904443;290985912.293129;292695032.762947;294404203.228795;297608845.075188;298463423.952858;301027141.467308;301454430.615186;302309006.03166;304018199.727015;305727374.052014;306581956.294485;307863847.881015;309573019.405586;311282175.382594;313418604.338934;314486839.058757;317264238.270814;318759762.067807;321964426.748419;323673571.949839
"3";"999900000007";"S-AP0000000-7";0;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2777714.57253062;2991384.89772718;3418724.12382038;4059735.73548502;4700747.10661314;43375702.9498769;45939762.614526;48503821.1792086;51495224.965919;53204594.2822719;54913959.260828;63247034.8260158;66238413.8309024;75639915.3761767;84186729.227872;89528441.7972882;92733490.6367166;97861560.8324137;99357247.1400927;101066604.165751;104057970.905961;106408339.522735;107263020.709189;108117702.371879;109186049.896772;110681736.606954;112604778.034738;113673126.005877;114527802.631878;116450840.183154;117732842.192488;119442197.471855;119869532.15206;123074580.358574;125211288.053698;126706964.322841;127988989.548215;129271008.195057
"4";"000093";"Isabela";0;30982745.0262567;30982745.0262567;30555401.5474314;30555401.5474314;30555401.5474314;30555401.5474314;30555401.5474314;30555401.5474314;30982745.0262567;30982745.0262567;30982745.0262567;30982745.0262567;30982745.0262567;30982745.0262567;30982745.0262567;31196420.1144978;32264783.6758737;32692129.9627035;34615180.4163245;36110897.5132592;43375702.9498769;45939762.614526;48503821.1792086;51495224.965919;53204594.2822719;54913959.260828;63247034.8260158;66238413.8309024;75639915.3761767;84186729.227872;89528441.7972882;92733490.6367166;97861560.8324137;99357247.1400927;101066604.165751;104057970.905961;106408339.522735;107263020.709189;108117702.371879;109186049.896772;110681736.606954;112604778.034738;113673126.005877;114527802.631878;116450840.183154;117732842.192488;119442197.471855;119869532.15206;123074580.358574;125211288.053698;126706964.322841;127988989.548215;129271008.195057
"5";"003505";"Isla Tortuga";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1495667.12584639;2777666.05464708;2777666.05464708;2991333.14948287;3204999.44253486;3204999.44253486;63247034.8260158;66238413.8309024;75639915.3761767;84186729.227872;89528441.7972882;92733490.6367166;97861560.8324137;99357247.1400927;101066604.165751;104057970.905961;106408339.522735;107263020.709189;108117702.371879;109186049.896772;110681736.606954;112604778.034738;113673126.005877;114527802.631878;116450840.183154;117732842.192488;119442197.471855;119869532.15206;123074580.358574;125211288.053698;126706964.322841;127988989.548215;129271008.195057
"6";"999900110007";"S-BP0011000-7";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1282045.77653897;1282045.77653897;3846135.78924672;4700829.64132036;5341853.9786938;11111082.1739202;16025593.1075666;21794782.8387778;22649471.9251116;22863147.5333809;23931507.565187;24572532.6616257;25427230.8163687;25427230.8163687;25854565.4007245;26281914.3124542;26709265.1824965;27136613.2528704;27350288.0532367;28204930.369705;28204930.369705;28845951.8378011;29273302.8200215;30128002.0228807;30769003.7050694;32264726.3070912;32264726.3070912;32905749.9838928;33333097.927594;34828791.349307;34828791.349307
"7";"999900115009";"S-BP0011500-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5768895.15724931;11965113.9180506;18588664.758285;32263114.2695488;47005884.1651244;97644036.753473;141445070.92958;150846306.671823;167084667.796559;198279003.23506;208107501.23594;220713388.507581;229900891.499606;241224868.187369;247848314.943025;256608473.26823;259386088.534734;263231998.522829;268146209.599474;272205792.751257;276906359.93186;287162014.201616;294426485.679866;298699705.915207;304254899.780548;309810070.134749;320706853.511697;330962606.797511;339295417.936552;346559959.57642
"8";"999001200011";"S-BP0012000-11";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3846135.78924672;4700829.64132036;5341853.9786938;11111082.1739202;16025593.1075666;21794782.8387778;22649471.9251116;22863147.5333809;23931507.565187;24572532.6616257;25427230.8163687;25427230.8163687;25854565.4007245;26281914.3124542;26709265.1824965;27136613.2528704;27350288.0532367;28204930.369705;28204930.369705;28845951.8378011;29273302.8200215;30128002.0228807;30769003.7050694;32264726.3070912;32264726.3070912;32905749.9838928;33333097.927594;34828791.349307;34828791.349307
"9";"999900125009";"S-BP0012500-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1495630.9201615;32263114.2695488;47005884.1651244;97644036.753473;141445070.92958;150846306.671823;167084667.796559;198279003.23506;208107501.23594;220713388.507581;229900891.499606;241224868.187369;247848314.943025;256608473.26823;259386088.534734;263231998.522829;268146209.599474;272205792.751257;276906359.93186;287162014.201616;294426485.679866;298699705.915207;304254899.780548;309810070.134749;320706853.511697;330962606.797511;339295417.936552;346559959.57642
"10";"999900135003";"S-BP0013500-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2991397.08056024;18375747.31642;46794059.2084058;76494393.3395504;233542630.677295;290377918.957391;305762070.975608;321359688.609237;340802540.806777;360458167.813725;367936707.988885;375415211.888909;388662849.120857;400839831.643491;408959361.698776;416864842.124589;424129663.889799;429257409.122645;436735907.990758;452334013.71414;463231293.678963;480323795.702463;501685896.346499;513437835.372196;523693565.984284;534163486.626106
