"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000206";"Gran Canaria";0;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;34078708.9057772;35593751.3403697;39002441.3054199;43735958.7383912;50363225.1621003;57937125.9407027;68540390.792877;82174403.3784943;99400094.7926087;109056853.169638;118527814.113135;145813071.436795;170639974.818407;203776269.352102;212488161.525254;213056508.501089;214570892.680917;215138739.470223;215138739.470223;215896607.048144;216275067.436758;217223255.300893;218170931.290909;218549051.549114;218927431.425216;219117120.45356;219684995.751976;220063091.645103;220252631.309392;220820971.252257;222147791.525787;223094084.08153;223472627.734282;224420012.282444;226124527.419899;226881350.342082;227638954.629648;227638954.629648
"2";"000192";"Fuerteventura";0;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1689722684.5741;1690288825.17985;1690477965.83591;1695750889.24196;1701209615.81615;1716303128.16288;1740243681.6944;1786208737.57143;1837867626.56837;1917079260.0641;2007031917.08743;3207316242.30584;3461152748.31;3821455540.52513;3952097353.9441;4064012190.83964;4159503151.36627;4248795304.22429;4442706672.53014;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
"3";"005287";"Lobos";0;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5638226.63665104;5826145.7375536;6014045.90315199;7141707.58379674;8457231.78731251;1786208737.57143;1837867626.56837;1917079260.0641;2007031917.08743;3207316242.30584;3461152748.31;3821455540.52513;3952097353.9441;4064012190.83964;4159503151.36627;4248795304.22429;4442706672.53014;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
"4";"000308";"Lanzarote";0;824794550.532364;824794550.532364;824794550.532364;824794550.532364;824794550.532364;824794550.532364;824794550.532364;824794550.532364;824794550.532364;824794550.532364;825543551.302442;825731040.041004;825731040.041004;826292883.776782;830975347.554102;837724497.313752;883194293.217416;901926590.870741;933205690.316649;968430986.671683;1009098144.09737;3207316242.30584;3461152748.31;3821455540.52513;3952097353.9441;4064012190.83964;4159503151.36627;4248795304.22429;4442706672.53014;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
"5";"005289";"Isla de Montaña Clara";0;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1308765.01273012;1308765.01273012;933205690.316649;968430986.671683;1009098144.09737;3207316242.30584;3461152748.31;3821455540.52513;3952097353.9441;4064012190.83964;4159503151.36627;4248795304.22429;4442706672.53014;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
"6";"005290";"Isla de Alegranza";0;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11580593.6812921;11767392.2504537;11954192.4766655;12514550.2895274;14382357.2377167;16063561.901922;18865643.8018117;20173353.2633772;23161858.4373333;3821455540.52513;3952097353.9441;4064012190.83964;4159503151.36627;4248795304.22429;4442706672.53014;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
"7";"999000000010";"S-AP0000000-10";0;3232402.84104705;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3232402.84104705;3232402.84104705;3232402.84104705;3232402.84104705;3232402.84104705;1994317951.82499;2163017274.73223;2321153153.09464;2481933914.77873;2682198403.41191;3030250860.69818;3245006464.15943;3383906550.56435;3544020830.73882;3844341634.33309;4743874284.55255;5547853712.77178;5575702542.17263;5595598471.44816;5609211097.83534;5616795083.53323;5623617486.73675;5629494344.48736;5634998556.54924;5637457887.90066;5640112155.3472;5643527419.33772;5646747464.21173;5649971992.4203;5652440662.84897;5655469996.43406;5660406246.97096;5666624303.0958;5673071243.46242;5684273611.84183;5691852373.13185;5699248673.16719;5707017081.75834;5713087324.22064;5716306997.16497
"8";"000002";"Africa";0;1787682124.09252;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780469908.02782;1780659299.33521;1787682124.09252;1788061469.2768;1789009281.53711;1799246180.97478;1864019216.15287;1994317951.82499;2163017274.73223;2321153153.09464;2481933914.77873;2682198403.41191;3030250860.69818;3245006464.15943;3383906550.56435;3544020830.73882;3844341634.33309;4743874284.55255;5547853712.77178;5575702542.17263;5595598471.44816;5609211097.83534;5616795083.53323;5623617486.73675;5629494344.48736;5634998556.54924;5637457887.90066;5640112155.3472;5643527419.33772;5646747464.21173;5649971992.4203;5652440662.84897;5655469996.43406;5660406246.97096;5666624303.0958;5673071243.46242;5684273611.84183;5691852373.13185;5699248673.16719;5707017081.75834;5713087324.22064;5716306997.16497
"9";"005288";"Graciosa Island";0;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29553215.4987321;29740317.6345289;30488515.2614448;31236877.4366472;883194293.217416;901926590.870741;933205690.316649;968430986.671683;1009098144.09737;3207316242.30584;3461152748.31;3821455540.52513;3952097353.9441;4064012190.83964;4159503151.36627;4248795304.22429;4442706672.53014;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
"10";"106948";"UNKNOWN";0;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;374001.168083668;560991.367456198;935007.471966982;1495993.00735831;2243958.35865545;3178977.11993718;4113966.73458219;5422925.45020819;7479936.9477067;11033016.4820251;22440817.51349;4652996071.711;4698670167.26373;4739065051.7465;4775903342.19387;4797512671.72528;4818175943.54854;4834692998.21513;4848389844.31464;4861145038.18187;4874089767.69586;4883473005.93506;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97466;4922523247.09814;4933046773.50063;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39835;5001747978.11689;5013207495.12394;5019217847.18395
