"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000206";"Gran Canaria";0;1596354554.74474;1596354554.74474;1596354554.74474;1596354554.74474;1596354554.74474;1596354554.74474;1596354554.74474;1596354554.74474;1596354554.74474;1601269272.52348;1601269272.52348;1601269272.52348;1601648001.90449;1602026356.81224;1602404997.39639;1610173875.82568;1624192117.50202;1648817218.5887;1699032174.1505;1752844854.47495;1810425545.23565;1872925761.1236;1945445026.91075;2026493251.88984;2112500556.0553;2182958633.54587;2259292620.04708;2349801012.44908;2523025940.96304;2581127407.56016;2591911720.00518;2601186662.59405;2607240389.07514;2609509870.64204;2612541343.12856;2614622286.71305;2618033573.25424;2620306316.45849;2621819851.55403;2623713211.04191;2624848875.57652;2626174966.36766;2628066652.02298;2629391774.51028;2631473268.62732;2633935441.07974;2636774536.23626;2639236022.73751;2641129116.2117;2644726931.48052;2648888824.2789;2652864425.65378;2653810323.93783
"2";"000166";"Tenerife";0;404947009.241007;404947009.241007;404947009.241007;404947009.241007;404947009.241007;404947009.241007;404947009.241007;404947009.241007;420031436.463351;420031436.463351;420031436.463351;422668062.281447;422668062.281447;424739216.740382;427940769.634353;434342501.85012;439804848.516961;446020731.063061;454307069.748083;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"3";"999900040007";"S-BP0004000-7";0;NA;NA;NA;NA;NA;NA;NA;NA;6775173.6398592;6775173.6398592;6775173.6398592;6775173.6398592;6775173.6398592;7151603.87221932;7151603.87221932;7528013.23091006;8092627.74293661;9033496.19029379;9786332.85487247;10915508.233753;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"4";"999000700013";"S-BP0007000-13";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1694627.68855619;1694627.68855619;1694627.68855619;2636021.40170217;4142025.32622266;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"5";"999000750010";"S-BP0007500-10";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1317436.92739654;1882096.65064073;9786640.90300035;13363064.2833927;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"6";"999000800011";"S-BP0008000-11";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2070493.86578345;9786640.90300035;13363064.2833927;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"7";"999000800015";"S-BP0008000-15";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1318760.07485771;1507154.56844401;1507154.56844401;1695539.02358031;1883933.51716661;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"8";"999000800023";"S-BP0008000-23";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1129219.32129955;9786640.90300035;13363064.2833927;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"9";"999000850016";"S-BP0008500-16";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1507038.05010128;1507038.05010128;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
"10";"999000850023";"S-BP0008500-23";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1129182.137995;13363064.2833927;500619836.063971;559548408.927617;581777501.90137;588746176.422812;603256122.304187;617015437.66567;622666541.79972;643229565.943534;649634527.431177;666786802.5041;677151550.023452;678848933.907298;681487054.426432;684126471.209481;685445222.144765;686198423.221966;686198423.221966;687140981.611965;687518543.961118;688083610.76485;688837872.08986;689214340.131357;689779666.854464;690156103.756342;690721736.029922;691664360.751052;692229375.190154;693171826.142025;694114960.643387;695245659.810341;695623130.89095;696564767.750648;697130188.147942;697696145.681714
