"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"999900000001";"S-AP0000000-1";0;1495648.4672014;1495648.4672014;1281982.79375018;1281982.79375018;1281982.79375018;1281982.79375018;1281982.79375018;1281982.79375018;1495648.4672014;1495648.4672014;1495648.4672014;1495648.4672014;1495648.4672014;4855576584.83523;4857286017.57568;4863910112.34216;4891047480.12796;4917329839.48665;4970536359.7561;5018614753.73548;5080582008.74623;5139557770.07328;5216482582.30269;5307509760.25658;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"2";"999900000007";"S-AP0000000-7";0;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3418726.3644408;4059734.34271716;5555426.5243808;6837450.41732909;5080582008.74623;5139557770.07328;5216482582.30269;5307509760.25658;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"3";"999000000010";"S-AP0000000-10";0;3418987.2135685;3418987.2135685;2991613.71358875;2991613.71358875;2991613.71358875;2991613.71358875;2991613.71358875;2991613.71358875;3418987.2135685;3418987.2135685;3418987.2135685;3418987.2135685;3418987.2135685;4273732.26496512;4273732.26496512;5342167.35109016;4891047480.12796;4917329839.48665;4970536359.7561;5018614753.73548;5080582008.74623;5139557770.07328;5216482582.30269;5307509760.25658;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"4";"999000000011";"S-AP0000000-11";0;4487492.36393655;4487492.36393655;4487492.36393655;3846421.62079786;3846421.62079786;3846421.62079786;3846421.62079786;3846421.62079786;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;5216482582.30269;5307509760.25658;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"5";"999000000012";"S-AP0000000-12";0;4701227.08595686;4701227.08595686;4701227.08595686;4487535.51047165;4487535.51047165;4487535.51047165;4487535.51047165;4487535.51047165;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"6";"000093";"Isabela";0;4804293875.00839;4804293875.00839;4801516135.87331;4794464408.47118;4794464408.47118;4794464408.47118;4794464408.47118;4794464408.47118;4804293875.00839;4804293875.00839;4804293875.00839;4804293875.00839;4804293875.00839;4855576584.83523;4857286017.57568;4863910112.34216;4891047480.12796;4917329839.48665;4970536359.7561;5018614753.73548;5080582008.74623;5139557770.07328;5216482582.30269;5307509760.25658;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"7";"000358";"Fernandina";0;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;651554243.734579;658819797.392014;659460882.220086;660101965.912444;662238895.366428;663948452.206094;665871697.16859;667367561.131981;668863414.060915;671855122.0168;673778364.709317;675915302.452438;676770082.775017;678693325.121404;680616566.500498;682112425.677317;685531529.457927;694720458.647855;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"8";"000799";"Santa Maria";0;121137298.465145;121137298.465145;121137298.465145;120923656.138382;120923656.138382;120923656.138382;120923656.138382;120923656.138382;121137298.465145;121137298.465145;121137298.465145;121137298.465145;121137298.465145;121350944.438603;121564587.288984;121778229.798811;123060097.191239;123487387.722716;123701030.6312;124555611.580893;126051083.439652;128614808.600658;130323964.833438;133314991.449871;135665098.063115;140365271.455592;147415730.971004;152115978.904771;159166250.934728;166002884.58865;167925685.74617;169634810.462432;171984956.642481;173266836.283054;173907768.306523;174762361.733774;177112438.188033;177326088.684219;178607951.312594;179035240.460473;179462531.549571;180958081.680984;182026301.459898;182453598.131112;183308186.550758;183949130.245111;184803716.594075;186085591.176969;186726536.377567;189076641.026233;189503941.013956;190358522.324455;191213100.427723
"9";"999000000024";"S-AP0000000-24";0;2564188.00021028;2564188.00021028;2564188.00021028;1495777.06398695;1495777.06398695;1495777.06398695;1495777.06398695;1495777.06398695;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;4970536359.7561;5018614753.73548;5080582008.74623;5139557770.07328;5216482582.30269;5307509760.25658;5414992651.0513;5481233528.87297;5575892588.31763;5651535050.65871;5856883529.41348;6006461954.9989;6748620423.5487;6785588060.5849;6822555358.50277;6839222922.01277;6856317851.05807;6872985194.08657;6892430592.41584;6900764336.70427;6909525378.82293;6918500139.8752;6927474824.58199;6944997108.70362;6958459305.89086;6960596097.4102;6978972993.42092;6998205006.4384;7013376520.20317;7022351339.19818;7039018444.13404;7060173191.07697;7076840563.74907;7095003773.7594;7104405820.12827
"10";"000275";"Santa Cruz";0;317111317.446267;317111317.446267;317111317.446267;316256554.033736;316256554.033736;316256554.033736;317111317.446267;316683936.921977;317111317.446267;317111317.446267;317111317.446267;317111317.446267;317111317.446267;317111317.446267;317111317.446267;317111317.446267;317111317.446267;317111317.446267;318179727.130288;318607089.641432;321171270.386583;324590223.719156;330359742.995297;337625028.626783;343180826.955239;352796733.424826;363053677.58607;372455883.67489;406645610.532273;438698524.06989;447459678.27516;454511319.262023;463272381.193346;468400822.260082;1011135329.25616;1031434623.12563;1046178203.43604;1055366330.21339;1063486030.48191;1072032995.97348;1084853570.94594;1104084535.63598;1110281192.58348;1117118791.69089;1123529162.52638;1130794170.15851;1142332717.94623;1150025099.23967;1175025519.28815;1198530250.24579;1227163232.37225;1244043967.70719;1251736374.5929
