"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000337";"Molokai";0;660929979.142692;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;650541817.591293;660929979.142692;726839412.041666;742422216.720812;757997102.909598;779152856.147672;804921008.375519;833874044.430295;870614958.727384;935707953.687055;971058279.13866;1003012451.54481;1568180394.64763;1726396647.26367;1793116996.9792;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"2";"999000000011";"S-AP0000000-11";0;1195392.46411085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3187730.0798564;1613487177.41153;1745613106.34043;1805190008.63828;1846641092.19622;1890483745.37068;1928943976.05697;1969381723.79364;2015799610.27859;2061011863.61608;2091887623.37142;2113201105.46199;2140891241.37057;2176945346.04679;2263996361.55094;2316965277.22181;2325527713.18719;2333693657.87436;2339865540.11769;2344048250.56681;2346839028.29777;2350423111.84686;2352612956.27411;2354404292.10123;2355996941.08254;2358387924.08837;2360977848.91241;2362172859.74653;2363964818.76758;2365757338.4316;2367950920.57778;2369940366.18878;2372928763.62578;2374922120.86826;2377113332.36144;2379702434.97479;2383286483.13523;2385478351.77993;2386674246.76625
"3";"000200";"Oahu";0;1489936453.83851;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1478576265.72615;1480765436.55829;1516035480.60882;1613487177.41153;1745613106.34043;1805190008.63828;1846641092.19622;1890483745.37068;1928943976.05697;1969381723.79364;2015799610.27859;2061011863.61608;2091887623.37142;2113201105.46199;2140891241.37057;2176945346.04679;2263996361.55094;2316965277.22181;2325527713.18719;2333693657.87436;2339865540.11769;2344048250.56681;2346839028.29777;2350423111.84686;2352612956.27411;2354404292.10123;2355996941.08254;2358387924.08837;2360977848.91241;2362172859.74653;2363964818.76758;2365757338.4316;2367950920.57778;2369940366.18878;2372928763.62578;2374922120.86826;2377113332.36144;2379702434.97479;2383286483.13523;2385478351.77993;2386674246.76625
"4";"000061";"Hawaii";0;2477709166.30792;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2476510850.74312;2477709166.30792;2481934980.86898;2489583710.29997;2502050305.81474;2513921963.73042;2526796155.28488;2537849049.78874;2549113379.39272;2566399149.51819;2587313542.38785;2601794726.115;2614666778.30153;2635980758.56229;2655899430.63825;2707590081.0949;2753235903.14218;2770135923.34466;2791261702.09888;2803735118.64252;2815999525.60995;2822636844.15863;2833503330.48728;2841351167.81996;2852417152.12501;2858051050.59506;2862477473.4271;2866297726.20428;2871726801.55418;2876555108.15518;2882792013.71828;2888223370.37942;2897278362.08094;2902706330.65664;2904515614.16194;2911954667.2456;2919995386.99412;2924618420.89802;2928236513.92028;2929442190.35772
"5";"011835";"Kaho'olawe";0;125068303.890368;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;124667542.098664;125068303.890368;131483362.385962;131884278.121412;133087163.550038;133688626.80774;134891374.627354;136495230.273996;138098969.225144;142709630.599597;146919250.952576;150527535.941907;154737235.334013;160550023.394885;165159817.920763;187606564.356748;213260269.510378;221677869.401631;228892425.676156;235908093.216393;239315545.272679;244526300.091111;249336785.451779;257153262.706073;260560396.558709;262965281.717192;266372191.454167;269980029.236649;270380774.58362;272585611.149795;274789988.657856;276593719.748957;280401547.812237;282406115.610527;287216068.865418;290422987.920666;292828339.194282;296435592.779989;299642163.736413;300243242.853816
"6";"000172";"Maui";0;1831317471.8089;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1827915390.46518;1831317471.8089;1871151357.00222;1899758024.77683;1930776488.12794;1971200489.68786;2010620012.15158;2057850382.41202;2099871986.68829;2155701125.47129;2228921893.06827;2279737412.34848;2894884860.47842;2999912047.18365;3094754149.82892;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"7";"000552";"Lanai";0;355313345.836671;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;354111708.794067;355313345.836671;365117434.542004;373519620.359011;379921715.258548;388322892.211861;396925493.057045;406727542.908821;416729408.867829;455326483.382233;483728133.444378;505129794.426654;2894884860.47842;2999912047.18365;3094754149.82892;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"8";"011836";"Sand";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;199445.566466451;598344.693490624;1745613106.34043;1805190008.63828;1846641092.19622;1890483745.37068;1928943976.05697;1969381723.79364;2015799610.27859;2061011863.61608;2091887623.37142;2113201105.46199;2140891241.37057;2176945346.04679;2263996361.55094;2316965277.22181;2325527713.18719;2333693657.87436;2339865540.11769;2344048250.56681;2346839028.29777;2350423111.84686;2352612956.27411;2354404292.10123;2355996941.08254;2358387924.08837;2360977848.91241;2362172859.74653;2363964818.76758;2365757338.4316;2367950920.57778;2369940366.18878;2372928763.62578;2374922120.86826;2377113332.36144;2379702434.97479;2383286483.13523;2385478351.77993;2386674246.76625
"9";"999900115006";"S-BP0011500-6";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;213106349.285931;390358315.142373;1568180394.64763;1726396647.26367;1793116996.9792;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"10";"999900120004";"S-BP0012000-4";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2399172.84451485;2894884860.47842;2999912047.18365;3094754149.82892;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"11";"999900120008";"S-BP0012000-8";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1398440.33245575;1568180394.64763;1726396647.26367;1793116996.9792;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"12";"999001200010";"S-BP0012000-10";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4194735.31367421;1568180394.64763;1726396647.26367;1793116996.9792;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"13";"999900125009";"S-BP0012500-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1398079.50351942;1726396647.26367;1793116996.9792;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"14";"999900130003";"S-BP0013000-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400684.06706095;3094754149.82892;5202966054.29194;5493451086.34443;5557419223.58201;5612774125.1133;5654757879.99123;5691533949.44352;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"15";"087358";"UNKNOWN";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1201967.10863984;1402292.17624021;1402292.17624021;1402292.17624021;5716125391.26041;5737712965.74134;5759099383.38195;5781271769.58617;5797270793.01802;5806869232.3532;5820256821.03327;5832844563.55664;5845238309.20753;5854432236.92221;5868026190.25057;5883614189.80849;5900601945.86326;5919598603.9622;5938590532.04002;5964378135.03833;5986164405.27842;6012948533.39181;6024152334.67982
"16";"999002100013";"S-BP0021000-13";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1610329.58230996;2882792013.71828;2888223370.37942;2897278362.08094;2902706330.65664;2904515614.16194;2911954667.2456;2919995386.99412;2924618420.89802;2928236513.92028;2929442190.35772
"17";"999900240008";"S-BP0024000-8";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1201156.37112904;1201156.37112904;1401335.90821707;6012948533.39181;6024152334.67982
"18";"999900250005";"S-BP0025000-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2002143.09111834;2202335.53355801;2602713.43322062
"19";"999002550019";"S-BP0025500-19";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1401733.80994296;1401733.80994296
"20";"999002600027";"S-BP0026000-27";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2202395.44810641
