"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000002";"Africa";0;4512820043.22221;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403033886.1448;4403223277.45219;4504876924.68932;4513387792.19635;4515846566.94549;4531006310.15615;4588494557.09188;4663171015.34036;4757230536.30061;4906263162.81283;5113155399.33548;5525716956.93619;6511500101.4944;7537488616.95729;8350375519.54759;8777376590.99438;9219333951.03351;10643573641.8167;13309867445.0405;13579709153.8785;13877540754.3996;13995380776.3618;14030743378.6699;14078467301.3612;14101408753.0033;14134108911.9404;14148404450.5597;14162326783.5044;14172307822.336;14188672172.0276;14199396909.2882;14204853816.2483;14215391167.2957;14221798163.4194;14238358404.5148;14251353248.2292;14262461600.9325;14277899024.9455;14297853342.4826;14310836170.7167;14326455394.7143;14333426402.484
"2";"000192";"Fuerteventura";0;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1688406784.2115;1689722684.5741;1690288825.17985;1690477965.83591;1695750889.24197;1701209615.81615;1716303128.16288;1740243681.69441;1786208737.57143;1837867626.56837;1917079260.0641;2007031917.08743;3207316242.30584;3461152748.31;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"3";"005287";"Lobos";0;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5638226.63665199;5826145.7375555;6014045.9031527;7141707.58379817;8457231.78731322;1786208737.57143;1837867626.56837;1917079260.0641;2007031917.08743;3207316242.30584;3461152748.31;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"4";"000308";"Lanzarote";0;824794550.532359;824794550.532359;824794550.532359;824794550.532359;824794550.532359;824794550.532359;824794550.532359;824794550.532359;824794550.532359;824794550.532359;825543551.302438;825731040.041;825731040.041;826292883.776778;830975347.5541;837724497.31375;883194293.217412;901926590.870741;933205690.316648;968430986.671679;1009098144.09737;3207316242.30584;3461152748.31;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"5";"005288";"Graciosa Island";0;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29553215.4987307;29740317.6345274;30488515.2614439;31236877.4366462;883194293.217412;901926590.870741;933205690.316648;968430986.671679;1009098144.09737;3207316242.30584;3461152748.31;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"6";"106948";"UNKNOWN";0;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;187000.583970785;374001.168083668;560991.367456198;935007.471966982;1495993.00735831;2243958.35865712;3178977.11993742;4113966.73458266;5422925.45020819;7479936.9477067;11033016.4820254;22440817.5134895;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"7";"005289";"Isla de Montaña Clara";0;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1121789.75500417;1308765.01273012;1308765.01273012;933205690.316648;968430986.671679;1009098144.09737;3207316242.30584;3461152748.31;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"8";"005290";"Isla de Alegranza";0;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11580593.6812911;11767392.2504528;11954192.4766641;12514550.289526;14382357.2377162;16063561.901921;18865643.8018117;20173353.2633767;23161858.4373324;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"9";"999900100009";"S-BP0010000-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1322996.79727912;3207316242.30584;3461152748.31;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
"10";"999900105001";"S-BP0010500-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1136073.27081418;7384735.53176546;3821455540.52513;3952097353.94409;4064012190.83964;4159503151.36628;4248795304.22429;4442706672.53014;4652996071.71101;4698670167.26373;4739065051.7465;4775903342.19388;4797512671.72528;4818175943.54855;4834692998.21514;4848389844.31465;4861145038.18188;4874089767.69587;4883473005.93507;4892672901.079;4900734105.75042;4906938059.21733;4912575327.97467;4922523247.09815;4933046773.50064;4945034879.21952;4957428824.06751;4970191130.57876;4985593530.39836;5001747978.11689;5013207495.12395;5019217847.18394
