"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"013189";"Do Bugio";0;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5432284.04068255;5794480.61445928;5975587.88375449;6156720.53669381;23160205.0440938;26779240.1685889;32389094.2693992;44328094.7877574;53193428.9028544;58621273.9786627;65495460.2175021;74361993.7991486;87390480.7437341;138049243.753432;167713624.993632;1355469692.20126;1376778891.732;1390864320.23705;1398807383.83888;1404045597.00718;1410547325.19419;1415422481.8795;1420479242.01596;1422464506.76861;1424811735.33496;1427158344.46346;1429325145.96065;1431310388.39255;1433295448.86955;1435460602.84528;1438710378.20588;1441780727.59554;1444850280.41562;1449540704.89235;1455318769.64015;1460011914.56244;1465068582.84662;1466875021.0698
"2";"013199";"Deserto Grande";0;14289282.4023659;14289282.4023659;14289282.4023659;14289282.4023659;14289282.4023659;14289282.4023659;14289282.4023659;14470159.6468596;14470159.6468596;14470159.6468596;14470159.6468596;14470159.6468596;14470159.6468596;14470159.6468596;14651012.2010961;14831831.8216319;14831831.8216319;15012634.2170744;15555282.4067166;23160205.0440938;26779240.1685889;32389094.2693992;44328094.7877574;53193428.9028544;58621273.9786627;65495460.2175021;74361993.7991486;87390480.7437341;138049243.753432;167713624.993632;1355469692.20126;1376778891.732;1390864320.23705;1398807383.83888;1404045597.00718;1410547325.19419;1415422481.8795;1420479242.01596;1422464506.76861;1424811735.33496;1427158344.46346;1429325145.96065;1431310388.39255;1433295448.86955;1435460602.84528;1438710378.20588;1441780727.59554;1444850280.41562;1449540704.89235;1455318769.64015;1460011914.56244;1465068582.84662;1466875021.0698
"3";"111422";"UNKNOWN";0;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;723075.519053459;44328094.7877574;53193428.9028544;58621273.9786627;65495460.2175021;74361993.7991486;87390480.7437341;138049243.753432;167713624.993632;1355469692.20126;1376778891.732;1390864320.23705;1398807383.83888;1404045597.00718;1410547325.19419;1415422481.8795;1420479242.01596;1422464506.76861;1424811735.33496;1427158344.46346;1429325145.96065;1431310388.39255;1433295448.86955;1435460602.84528;1438710378.20588;1441780727.59554;1444850280.41562;1449540704.89235;1455318769.64015;1460011914.56244;1465068582.84662;1466875021.0698
"4";"000320";"Madeira";0;771929664.63706;771929664.63706;771929664.63706;771929664.63706;771929664.63706;771929664.63706;771929664.63706;776437524.877207;776437524.877207;776437524.877207;776437524.877207;776437524.877207;776798186.118749;776798186.118749;777699781.383415;780226135.43963;784555476.367671;791954067.860191;800793039.426773;813780857.211603;826768447.194283;844444621.757205;856528725.265425;907746750.289322;934080011.730426;965464633.479753;1008753263.05582;1038698185.71354;1108341689.61773;1167891535.84408;1355469692.20126;1376778891.732;1390864320.23705;1398807383.83888;1404045597.00718;1410547325.19419;1415422481.8795;1420479242.01596;1422464506.76861;1424811735.33496;1427158344.46346;1429325145.96065;1431310388.39255;1433295448.86955;1435460602.84528;1438710378.20588;1441780727.59554;1444850280.41562;1449540704.89235;1455318769.64015;1460011914.56244;1465068582.84662;1466875021.0698
"5";"013236";"Porto Santo";0;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56279280.133286;56459174.3850029;56459174.3850029;56818878.2934864;56998559.2649212;57537622.4299016;59516219.6034772;60954036.9808469;64191565.4107521;68145983.4982586;73360883.5894804;80731785.1824064;90976264.0695484;112365743.933016;169689962.717262;183711259.958655;192339626.546742;197373865.424435;202767451.563586;212652273.733535;221278865.84733;222357825.194999;224154172.845651;225412361.588795;226490611.483546;227748544.42689;228287647.932562;228647472.387727;230624006.754053;230803655.66423;231162899.204353;231342511.620812;231701725.698558;232420414.888442;232779867.214772;233319162.111666;234756500.349172;235475605.062732;235655379.420739;236733481.494703;237452928.670828;238171928.267134;239071200.144304;239609931.022722
"6";"111651";"UNKNOWN";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;180472.889661551;541429.943181992;721911.829958916;1082837.33707404;844444621.757205;856528725.265425;907746750.289322;934080011.730426;965464633.479753;1008753263.05582;1038698185.71354;1108341689.61773;1167891535.84408;1355469692.20126;1376778891.732;1390864320.23705;1398807383.83888;1404045597.00718;1410547325.19419;1415422481.8795;1420479242.01596;1422464506.76861;1424811735.33496;1427158344.46346;1429325145.96065;1431310388.39255;1433295448.86955;1435460602.84528;1438710378.20588;1441780727.59554;1444850280.41562;1449540704.89235;1455318769.64015;1460011914.56244;1465068582.84662;1466875021.0698
"7";"999001000010";"S-BP0010000-10";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1257690.00751376;90976264.0695484;112365743.933016;169689962.717262;183711259.958655;192339626.546742;197373865.424435;202767451.563586;212652273.733535;221278865.84733;222357825.194999;224154172.845651;225412361.588795;226490611.483546;227748544.42689;228287647.932562;228647472.387727;230624006.754053;230803655.66423;231162899.204353;231342511.620812;231701725.698558;232420414.888442;232779867.214772;233319162.111666;234756500.349172;235475605.062732;235655379.420739;236733481.494703;237452928.670828;238171928.267134;239071200.144304;239609931.022722
"8";"999001050013";"S-BP0010500-13";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1256981.2471292;17420888.1909475;169689962.717262;183711259.958655;192339626.546742;197373865.424435;202767451.563586;212652273.733535;221278865.84733;222357825.194999;224154172.845651;225412361.588795;226490611.483546;227748544.42689;228287647.932562;228647472.387727;230624006.754053;230803655.66423;231162899.204353;231342511.620812;231701725.698558;232420414.888442;232779867.214772;233319162.111666;234756500.349172;235475605.062732;235655379.420739;236733481.494703;237452928.670828;238171928.267134;239071200.144304;239609931.022722
"9";"999900120004";"S-BP0012000-4";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1078203.05387044;192339626.546742;197373865.424435;202767451.563586;212652273.733535;221278865.84733;222357825.194999;224154172.845651;225412361.588795;226490611.483546;227748544.42689;228287647.932562;228647472.387727;230624006.754053;230803655.66423;231162899.204353;231342511.620812;231701725.698558;232420414.888442;232779867.214772;233319162.111666;234756500.349172;235475605.062732;235655379.420739;236733481.494703;237452928.670828;238171928.267134;239071200.144304;239609931.022722
"10";"999900125003";"S-BP0012500-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1262730.59581113;1008753263.05582;1038698185.71354;1108341689.61773;1167891535.84408;1355469692.20126;1376778891.732;1390864320.23705;1398807383.83888;1404045597.00718;1410547325.19419;1415422481.8795;1420479242.01596;1422464506.76861;1424811735.33496;1427158344.46346;1429325145.96065;1431310388.39255;1433295448.86955;1435460602.84528;1438710378.20588;1441780727.59554;1444850280.41562;1449540704.89235;1455318769.64015;1460011914.56244;1465068582.84662;1466875021.0698
