"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000337";"Molokai";0;660929979.142697;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;650541817.5913;660929979.142697;726839412.041659;742422216.720803;757997102.909594;779152856.147682;804921008.375518;833874044.430283;870614958.727367;935707953.687034;971058279.138646;1003012451.54479;1568180394.64761;1726396647.26363;1793116996.9792;5202966054.29197;5493451086.34443;5557419223.58202;5612774125.1133;5654757879.99122;5691533949.44351;5716125391.26042;5737712965.74134;5759099383.38194;5781271769.58616;5797270793.01801;5806869232.35319;5820256821.03327;5832844563.55663;5845238309.20753;5854432236.9222;5868026190.25056;5883614189.80847;5900601945.86325;5919598603.96218;5938590532.04;5964378135.03831;5986164405.2784;6012948533.39181;6024152334.67983
"2";"999000000012";"S-AP0000000-12";0;1195392.46411085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3187730.07985878;982368372.390678;1091386734.5698;1127853324.09487;1155354039.46243;1181468158.44044;1204389545.1994;1223915561.28065;1250013506.48764;1275911756.22169;1293446928.48494;1305001193.7495;1324129810.83489;1351026608.79618;1414784907.87604;1447455562.06251;1452435777.35196;1457019123.27062;1460603310.4819;1463590640.22776;1465782580.8664;1467773878.93501;1469366436.94833;1470163082.55087;1470760610.88449;1472554642.58738;1474348827.56578;1475344478.30164;1476141212.20742;1477137471.1299;1478732689.0864;1480127226.36863;1482318308.79032;1483713706.47328;1484909905.88656;1486503885.21533;1488695245.26504;1489891044.42589;1490289960.70622
"3";"000200";"Oahu";0;884123907.933291;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875154169.543533;875949885.931585;905242776.40699;982368372.390678;1091386734.5698;1127853324.09487;1155354039.46243;1181468158.44044;1204389545.1994;1223915561.28065;1250013506.48764;1275911756.22169;1293446928.48494;1305001193.7495;1324129810.83489;1351026608.79618;1414784907.87604;1447455562.06251;1452435777.35196;1457019123.27062;1460603310.4819;1463590640.22776;1465782580.8664;1467773878.93501;1469366436.94833;1470163082.55087;1470760610.88449;1472554642.58738;1474348827.56578;1475344478.30164;1476141212.20742;1477137471.1299;1478732689.0864;1480127226.36863;1482318308.79032;1483713706.47328;1484909905.88656;1486503885.21533;1488695245.26504;1489891044.42589;1490289960.70622
"4";"000061";"Hawaii";0;8237954572.86621;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8235335723.76952;8239971934.21078;8249841349.72339;8265146316.13016;8289718237.13198;8317914824.51533;8341470244.90367;8365834200.72795;8391002703.58727;8427589554.40856;8470272604.53243;8498653558.5571;8526475463.87454;8559685873.58837;8593705202.36635;8678041704.84566;8760973198.19831;8789701664.36367;8819287250.77163;8840013142.57235;8856114568.63467;8865368104.61859;8879254166.8677;8889521450.78294;8903204442.711;8912062271.07256;8918501581.55236;8923931647.44398;8930971390.77579;8936403475.2217;8943245059.54395;8950287130.62687;8961557222.44945;8968996866.4041;8972418467.991;8983078485.29193;8995545408.76978;9004395387.91904;9010227113.48384;9012842823.57384
"5";"011835";"Kaho'olawe";0;125068303.890365;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;124667542.098662;125068303.890365;131483362.385956;131884278.121404;133087163.550033;133688626.807734;134891374.627346;136495230.273987;138098969.225137;142709630.59959;146919250.952568;150527535.941898;154737235.334002;160550023.394875;165159817.92075;187606564.356722;213260269.510358;221677869.401616;228892425.676144;235908093.216378;239315545.272657;244526300.091095;249336785.451768;257153262.706068;260560396.558709;262965281.717192;266372191.454168;269980029.236647;270380774.583619;272585611.149794;274789988.657855;276593719.748954;280401547.812236;282406115.610528;287216068.865421;290422987.92067;292828339.194287;296435592.779994;299642163.736418;300243242.853821
"6";"000172";"Maui";0;1831317471.80894;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1827915390.46522;1831317471.80894;1871151357.00226;1899758024.77686;1930776488.12797;1971200489.68788;2010620012.15158;2057850382.41201;2099871986.68828;2155701125.47126;2228921893.06824;2279737412.34845;2894884860.47843;2999912047.18366;3094754149.82895;5202966054.29197;5493451086.34443;5557419223.58202;5612774125.1133;5654757879.99122;5691533949.44351;5716125391.26042;5737712965.74134;5759099383.38194;5781271769.58616;5797270793.01801;5806869232.35319;5820256821.03327;5832844563.55663;5845238309.20753;5854432236.9222;5868026190.25056;5883614189.80847;5900601945.86325;5919598603.96218;5938590532.04;5964378135.03831;5986164405.2784;6012948533.39181;6024152334.67983
"7";"000552";"Lanai";0;355313345.836654;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;354111708.79405;355313345.836654;365117434.541981;373519620.358995;379921715.258534;388322892.21185;396925493.057039;406727542.908814;416729408.867824;455326483.382223;483728133.44437;505129794.426633;2894884860.47843;2999912047.18366;3094754149.82895;5202966054.29197;5493451086.34443;5557419223.58202;5612774125.1133;5654757879.99122;5691533949.44351;5716125391.26042;5737712965.74134;5759099383.38194;5781271769.58616;5797270793.01801;5806869232.35319;5820256821.03327;5832844563.55663;5845238309.20753;5854432236.9222;5868026190.25056;5883614189.80847;5900601945.86325;5919598603.96218;5938590532.04;5964378135.03831;5986164405.2784;6012948533.39181;6024152334.67983
"8";"011836";"Sand";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;199445.566466451;598344.693489909;1091386734.5698;1127853324.09487;1155354039.46243;1181468158.44044;1204389545.1994;1223915561.28065;1250013506.48764;1275911756.22169;1293446928.48494;1305001193.7495;1324129810.83489;1351026608.79618;1414784907.87604;1447455562.06251;1452435777.35196;1457019123.27062;1460603310.4819;1463590640.22776;1465782580.8664;1467773878.93501;1469366436.94833;1470163082.55087;1470760610.88449;1472554642.58738;1474348827.56578;1475344478.30164;1476141212.20742;1477137471.1299;1478732689.0864;1480127226.36863;1482318308.79032;1483713706.47328;1484909905.88656;1486503885.21533;1488695245.26504;1489891044.42589;1490289960.70622
"9";"999900115009";"S-BP0011500-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;213106349.285927;390358315.142373;1568180394.64761;1726396647.26363;1793116996.9792;5202966054.29197;5493451086.34443;5557419223.58202;5612774125.1133;5654757879.99122;5691533949.44351;5716125391.26042;5737712965.74134;5759099383.38194;5781271769.58616;5797270793.01801;5806869232.35319;5820256821.03327;5832844563.55663;5845238309.20753;5854432236.9222;5868026190.25056;5883614189.80847;5900601945.86325;5919598603.96218;5938590532.04;5964378135.03831;5986164405.2784;6012948533.39181;6024152334.67983
"10";"999900120007";"S-BP0012000-7";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2399172.84451234;2894884860.47843;2999912047.18366;3094754149.82895;5202966054.29197;5493451086.34443;5557419223.58202;5612774125.1133;5654757879.99122;5691533949.44351;5716125391.26042;5737712965.74134;5759099383.38194;5781271769.58616;5797270793.01801;5806869232.35319;5820256821.03327;5832844563.55663;5845238309.20753;5854432236.9222;5868026190.25056;5883614189.80847;5900601945.86325;5919598603.96218;5938590532.04;5964378135.03831;5986164405.2784;6012948533.39181;6024152334.67983
