"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"999900000002";"S-AP0000000-2";0;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1203130.57387114;1403664.10188985;2606764.66529882;4611790.05085552;4812296.11007512;4812296.11007512;5814772.8135227;6015410.70952547;6215952.46524036;6616991.18119323;6616991.18119323;6616991.18119323;6817513.71047723;6817513.71047723;7419083.55031896;7419083.55031896;7419083.55031896;7419083.55031896;8221075.48868406;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"2";"999900000005";"S-AP0000000-5";0;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855;6420223.55712855
"3";"999900000007";"S-AP0000000-7";0;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;1406594.33569467;2251521061.23285;2268794598.22172;2283863227.2982;2312995092.69755;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"4";"999900000008";"S-AP0000000-8";0;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2412055.78991592;2613051.69404483;2814050.44853652;2814050.44853652;2814050.44853652;2814050.44853652;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"5";"999000000010";"S-AP0000000-10";0;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2011281.56569862;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"6";"000174";"Mauritius";0;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1896057209.02258;1951426517.77588;1959858986.28842;2187617505.84162;2209330118.96749;2221786913.97896;2235853994.86247;2251521061.23285;2268794598.22172;2283863227.2982;2312995092.69755;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"7";"999000000015";"S-AP0000000-15";0;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;1206714.50556934;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"8";"999000000016";"S-AP0000000-16";0;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;1609135.98673689;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"9";"999000000017";"S-AP0000000-17";0;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2011938.88268447;2414308.28226626;2816680.04345536;8249229.39414942;2209330118.96749;2221786913.97896;2235853994.86247;2251521061.23285;2268794598.22172;2283863227.2982;2312995092.69755;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"10";"999000000018";"S-AP0000000-18";0;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1207334.31054688;1408569.40747809;1408569.40747809;8249229.39414942;2209330118.96749;2221786913.97896;2235853994.86247;2251521061.23285;2268794598.22172;2283863227.2982;2312995092.69755;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"11";"010047";"Plate";0;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3220544.30795991;3421835.81753945;3623120.26572299;15296896.362489;16303331.2260187;19926665.7596505;24355027.188926;27374063.8878424;31198569.1313537;37639467.3699838;47702819.2930228;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"12";"010049";"Ronde";0;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;1811856.17311692;2013171.59558845;2214495.97121406;8052425.75158358;8253702.12463105;8455117.64753294;8656446.19275391;8857766.77399254;9461677.44661188;10468163.4681879;13085256.0318924;15702269.2138015;26574414.8302338;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"13";"999000700020";"S-BP0007000-20";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3009456.90698051;2187617505.84162;2209330118.96749;2221786913.97896;2235853994.86247;2251521061.23285;2268794598.22172;2283863227.2982;2312995092.69755;2414186414.84136;2455815894.25192;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
"14";"999000800018";"S-BP0008000-18";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1208093.61626434;1208093.61626434;1208093.61626434;4429757.20648706;4429757.20648706;4429757.20648706;6040524.73399675;6644563.81835902;26574414.8302338;2605321263.68975;2637306407.38391;2660432564.79745;2716120687.94695;2754503418.11077;2770380591.05205;2779618923.60798;2788864757.09636;2795098209.98744;2804743570.947;2808961448.77002;2816992495.25647;2819604002.58096;2824630070.77758;2828651358.5262;2833271879.15192;2835684972.46667;2837293546.93925;2839103241.4646;2841513276.6139;2844528097.63374;2857771072.79574;2860381956.72063;2867619659.26039;2874655264.08531;2883701617.23175;2890933076.59327;2893945844.98978
