"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"999000000010";"S-AP0000000-10";0;1195392.46411085;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3187730.07985497;1459122435.21874;1580693074.24515;1630110090.77507;1665782128.87697;1701659851.24072;1731753026.06742;1763630636.05808;1803872533.75215;1840125244.62719;1865028546.85329;1882158571.68758;1906862412.61116;1939730700.31614;2020607149.78542;2067008925.91297;2074376852.35554;2081149161.6947;2086524833.10621;2090308929.39638;2092898803.14321;2095885432.41018;2097875978.35112;2099468290.90997;2101060939.89127;2103252896.5176;2105842821.34164;2106838472.0775;2108430942.95443;2109427189.36337;2111421373.58429;2113214390.19116;2115604405.46269;2117398726.97034;2119192257.11567;2121582580.125;2124967620.59505;2126960674.73818;2127758567.43517
"2";"000200";"Oahu";0;1344134540.74662;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1334168398.68299;1335362121.03554;1368442379.77183;1459122435.21874;1580693074.24515;1630110090.77507;1665782128.87697;1701659851.24072;1731753026.06742;1763630636.05808;1803872533.75215;1840125244.62719;1865028546.85329;1882158571.68758;1906862412.61116;1939730700.31614;2020607149.78542;2067008925.91297;2074376852.35554;2081149161.6947;2086524833.10621;2090308929.39638;2092898803.14321;2095885432.41018;2097875978.35112;2099468290.90997;2101060939.89127;2103252896.5176;2105842821.34164;2106838472.0775;2108430942.95443;2109427189.36337;2111421373.58429;2113214390.19116;2115604405.46269;2117398726.97034;2119192257.11567;2121582580.125;2124967620.59505;2126960674.73818;2127758567.43517
"3";"011835";"Kaho'olawe";0;125068303.890369;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;124667542.098665;125068303.890369;131483362.385963;131884278.121413;133087163.550039;133688626.807741;134891374.627355;136495230.273997;138098969.225145;142709630.599598;146919250.952578;150527535.941909;154737235.334015;160550023.394887;165159817.920765;187606564.356753;213260269.51038;221677869.401633;228892425.676157;235908093.216394;239315545.27268;244526300.091112;249336785.451781;257153262.706074;260560396.558709;262965281.717191;266372191.454167;269980029.236648;270380774.583619;272585611.149794;274789988.657854;276593719.748955;280401547.812235;282406115.610526;287216068.865417;290422987.920666;292828339.19428;296435592.779988;299642163.736412;300243242.853814
"4";"000172";"Maui";0;1831317471.80893;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1827915390.4652;1831317471.80893;1871151357.00226;1899758024.77686;1930776488.12797;1971200489.68787;2010620012.15159;2057850382.41201;2099871986.6883;2155701125.4713;2228921893.06828;2279737412.3485;2894884860.47842;2999912047.18364;3094754149.82894;5202966054.29196;5493451086.34447;5557419223.58205;5612774125.11333;5654757879.99126;5691533949.44356;5716125391.26045;5737712965.74138;5759099383.38199;5781271769.5862;5797270793.01806;5806869232.35324;5820256821.03331;5832844563.55668;5845238309.20758;5854432236.92225;5868026190.25061;5883614189.80854;5900601945.8633;5919598603.96224;5938590532.04005;5964378135.03836;5986164405.27845;6012948533.39184;6024152334.67986
"5";"000552";"Lanai";0;355313345.836671;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;354111708.794068;355313345.836671;365117434.542003;373519620.359009;379921715.258547;388322892.211862;396925493.057046;406727542.908821;416729408.867827;455326483.382233;483728133.444379;505129794.426654;2894884860.47842;2999912047.18364;3094754149.82894;5202966054.29196;5493451086.34447;5557419223.58205;5612774125.11333;5654757879.99126;5691533949.44356;5716125391.26045;5737712965.74138;5759099383.38199;5781271769.5862;5797270793.01806;5806869232.35324;5820256821.03331;5832844563.55668;5845238309.20758;5854432236.92225;5868026190.25061;5883614189.80854;5900601945.8633;5919598603.96224;5938590532.04005;5964378135.03836;5986164405.27845;6012948533.39184;6024152334.67986
"6";"000337";"Molokai";0;660929979.142692;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;650541817.591291;660929979.142692;726839412.041669;742422216.720816;757997102.909602;779152856.14768;804921008.375529;833874044.430295;870614958.727388;935707953.687058;971058279.138668;1003012451.54482;1568180394.64764;1726396647.26368;1793116996.97921;5202966054.29196;5493451086.34447;5557419223.58205;5612774125.11333;5654757879.99126;5691533949.44356;5716125391.26045;5737712965.74138;5759099383.38199;5781271769.5862;5797270793.01806;5806869232.35324;5820256821.03331;5832844563.55668;5845238309.20758;5854432236.92225;5868026190.25061;5883614189.80854;5900601945.8633;5919598603.96224;5938590532.04005;5964378135.03836;5986164405.27845;6012948533.39184;6024152334.67986
"7";"011836";"Sand";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;199445.566466451;598344.693489552;1580693074.24515;1630110090.77507;1665782128.87697;1701659851.24072;1731753026.06742;1763630636.05808;1803872533.75215;1840125244.62719;1865028546.85329;1882158571.68758;1906862412.61116;1939730700.31614;2020607149.78542;2067008925.91297;2074376852.35554;2081149161.6947;2086524833.10621;2090308929.39638;2092898803.14321;2095885432.41018;2097875978.35112;2099468290.90997;2101060939.89127;2103252896.5176;2105842821.34164;2106838472.0775;2108430942.95443;2109427189.36337;2111421373.58429;2113214390.19116;2115604405.46269;2117398726.97034;2119192257.11567;2121582580.125;2124967620.59505;2126960674.73818;2127758567.43517
"8";"999900115005";"S-BP0011500-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;213106349.285918;390358315.142374;1568180394.64764;1726396647.26368;1793116996.97921;5202966054.29196;5493451086.34447;5557419223.58205;5612774125.11333;5654757879.99126;5691533949.44356;5716125391.26045;5737712965.74138;5759099383.38199;5781271769.5862;5797270793.01806;5806869232.35324;5820256821.03331;5832844563.55668;5845238309.20758;5854432236.92225;5868026190.25061;5883614189.80854;5900601945.8633;5919598603.96224;5938590532.04005;5964378135.03836;5986164405.27845;6012948533.39184;6024152334.67986
"9";"999900120007";"S-BP0012000-7";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1398440.33245575;1568180394.64764;1726396647.26368;1793116996.97921;5202966054.29196;5493451086.34447;5557419223.58205;5612774125.11333;5654757879.99126;5691533949.44356;5716125391.26045;5737712965.74138;5759099383.38199;5781271769.5862;5797270793.01806;5806869232.35324;5820256821.03331;5832844563.55668;5845238309.20758;5854432236.92225;5868026190.25061;5883614189.80854;5900601945.8633;5919598603.96224;5938590532.04005;5964378135.03836;5986164405.27845;6012948533.39184;6024152334.67986
"10";"999900120009";"S-BP0012000-9";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4194735.31367326;1568180394.64764;1726396647.26368;1793116996.97921;5202966054.29196;5493451086.34447;5557419223.58205;5612774125.11333;5654757879.99126;5691533949.44356;5716125391.26045;5737712965.74138;5759099383.38199;5781271769.5862;5797270793.01806;5806869232.35324;5820256821.03331;5832844563.55668;5845238309.20758;5854432236.92225;5868026190.25061;5883614189.80854;5900601945.8633;5919598603.96224;5938590532.04005;5964378135.03836;5986164405.27845;6012948533.39184;6024152334.67986
