"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"999900000003";"S-AP0000000-3";0;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;4272227.11279325;6194726.90433367;6194726.90433367;6621951.65958695;6835563.50020447;7262786.79379903;7476397.54315935;7903621.9621225;8117233.32669266;8971686.42189018;9398910.52572353;10253358.6459837;11107805.0656485;12603099.7865356;13671161.109849;14525605.9756484;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"2";"999900000008";"S-AP0000000-8";0;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;5980988.99707058;354174199.669834;389207352.865149;427658950.502874;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"3";"999900000009";"S-AP0000000-9";0;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087;2990663.00356087
"4";"000854";"Principe";0;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198022173.548853;198235784.069749;198876642.544795;202080923.447258;207207678.63878;219810781.111924;245230503.384682;285176335.312146;354174199.669834;389207352.865149;427658950.502874;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"5";"999000000015";"S-AP0000000-15";0;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3417692.92460534;3844908.9287048;245230503.384682;285176335.312146;354174199.669834;389207352.865149;427658950.502874;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"6";"999900115001";"S-BP0011500-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2136197.59875596;2990679.37181634;3204299.5305514;4486020.35592383;6194980.88476007;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"7";"999001150015";"S-BP0011500-15";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1708820.14826664;389207352.865149;427658950.502874;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"8";"999900120006";"S-BP0012000-6";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1281652.49141383;1708871.10247153;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"9";"999900125004";"S-BP0012500-4";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1708901.96095118;520155979.992;634230418.251601;994616979.123126;1080495663.88801;1090535980.01741;1095449337.01535;1102071681.37245;1105916862.88727;1109334877.99027;1112539212.41392;1116384504.64196;1118307180.06948;1119375315.00922;1120657095.91831;1121725125.59531;1123861389.45579;1124502269.98832;1125997599.55377;1127065724.77263;1128774770.76926;1131338308.38965;1134115341.76524;1136465219.03889;1139242282.83847;1143301369.86709;1146932909.14258;1148214521.71575
"10";"999900205001";"S-BP0020500-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1495509.09175763;1495509.09175763;1709153.36645482;1709153.36645482;2136442.2234569;2350084.88286844;2350084.88286844;2350084.88286844;2563728.44680908;2777373.5670921;2777373.5670921;2777373.5670921
