"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"999900000001";"S-AP0000000-1";0;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436;5154511.8166436
"2";"012391";"De Sal Rei";0;821838.821630001;821838.821630001;821838.821630001;821838.821630001;821838.821630001;821838.821630001;821838.821630001;821838.821630001;821838.821630001;709897355.937541;709897355.937541;709897355.937541;714623085.487385;723456406.545144;736401895.275189;757772423.728985;785515223.861683;831343760.9279;870393442.366658;902247459.095142;945403292.559603;986912571.954009;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.4654;1840335389.11663;2070886079.86134;2310580431.2141;2345330691.04934;2379880233.28977;2410728833.78012;2426561842.46219;2441780110.00936;2455353838.62516;2469541648.61036;2477976499.9036;2485790222.24326;2492165915.87572;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48093;2529801377.85409;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71811;2588615143.74345;2604244970.9789;2619261801.77402;2625634618.20493
"3";"000554";"Sao Nicolau";0;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176520017.566271;176724696.873745;176724696.873745;176724696.873745;176724696.873745;176724696.873745;176724696.873745
"4";"000690";"Sal";0;263480690.954048;263480690.954048;263480690.954048;263480690.954048;263480690.954048;263480690.954048;263480690.954048;263480690.954048;263480690.954048;263685535.590517;263685535.590517;263685535.590517;264709822.216391;266143852.396622;266758499.861817;270650846.561996;280281263.565271;298517772.419183;319210054.731986;324537425.80715;334372121.995934;346461935.351151;356089724.245741;362850807.264789;371249792.605662;377395480.98943;385385525.593707;392965846.764154;411404312.189066;428205119.242313;435582937.02037;438655922.238217;441934028.259414;444187332.114234;445826449.380995;447465360.294628;448694299.593432;449923567.828385;450947761.855549;453201743.865137;453816550.765092;454840864.415819;455660535.818211;456070434.358445;457094596.095348;458733645.212608;459962898.178836;461806464.832052;463035727.464392;465288911.360468;466928141.934719;469591899.385829;470206568.73386
"5";"000353";"Boa Vista";0;690570453.043319;690570453.043319;690570453.043319;690570453.043319;690570453.043319;690570453.043319;690570453.043319;690570453.043319;690570453.043319;709897355.937541;709897355.937541;709897355.937541;714623085.487385;723456406.545144;736401895.275189;757772423.728985;785515223.861683;831343760.9279;870393442.366658;902247459.095142;945403292.559603;986912571.954009;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.4654;1840335389.11663;2070886079.86134;2310580431.2141;2345330691.04934;2379880233.28977;2410728833.78012;2426561842.46219;2441780110.00936;2455353838.62516;2469541648.61036;2477976499.9036;2485790222.24326;2492165915.87572;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48093;2529801377.85409;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71811;2588615143.74345;2604244970.9789;2619261801.77402;2625634618.20493
"6";"999000000012";"S-AP0000000-12";0;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;14178867.5007951;1346189541.4654;1840335389.11663;2070886079.86134;2310580431.2141;2345330691.04934;2379880233.28977;2410728833.78012;2426561842.46219;2441780110.00936;2455353838.62516;2469541648.61036;2477976499.9036;2485790222.24326;2492165915.87572;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48093;2529801377.85409;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71811;2588615143.74345;2604244970.9789;2619261801.77402;2625634618.20493
"7";"999000000013";"S-AP0000000-13";0;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1437655.08517075;1848436.59242165;723456406.545144;736401895.275189;757772423.728985;785515223.861683;831343760.9279;870393442.366658;902247459.095142;945403292.559603;986912571.954009;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.4654;1840335389.11663;2070886079.86134;2310580431.2141;2345330691.04934;2379880233.28977;2410728833.78012;2426561842.46219;2441780110.00936;2455353838.62516;2469541648.61036;2477976499.9036;2485790222.24326;2492165915.87572;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48093;2529801377.85409;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71811;2588615143.74345;2604244970.9789;2619261801.77402;2625634618.20493
"8";"999000000014";"S-AP0000000-14";0;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;4099600.71326602;298517772.419183;319210054.731986;324537425.80715;334372121.995934;346461935.351151;356089724.245741;362850807.264789;371249792.605662;377395480.98943;385385525.593707;392965846.764154;411404312.189066;428205119.242313;435582937.02037;438655922.238217;441934028.259414;444187332.114234;445826449.380995;447465360.294628;448694299.593432;449923567.828385;450947761.855549;453201743.865137;453816550.765092;454840864.415819;455660535.818211;456070434.358445;457094596.095348;458733645.212608;459962898.178836;461806464.832052;463035727.464392;465288911.360468;466928141.934719;469591899.385829;470206568.73386
"9";"999900045002";"S-BP0004500-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;41379743.4203289;41379743.4203289;41379743.4203289;41379743.4203289;41997427.5289531;43438449.4736983;45497295.7137361;49408903.0748687;53526461.1321455;58467608.3380314;65879520.2565;88522020.920859;112816115.048537;149667981.336939;179522019.517138;235510163.681172;275031610.565727;341931025.817298;1840335389.11663;2070886079.86134;2310580431.2141;2345330691.04934;2379880233.28977;2410728833.78012;2426561842.46219;2441780110.00936;2455353838.62516;2469541648.61036;2477976499.9036;2485790222.24326;2492165915.87572;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48093;2529801377.85409;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71811;2588615143.74345;2604244970.9789;2619261801.77402;2625634618.20493
"10";"999000600011";"S-BP0006000-11";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1848565.89068103;723456406.545144;736401895.275189;757772423.728985;785515223.861683;831343760.9279;870393442.366658;902247459.095142;945403292.559603;986912571.954009;1051439035.54434;1118231418.11461;1173522710.49434;1257598653.38792;1346189541.4654;1840335389.11663;2070886079.86134;2310580431.2141;2345330691.04934;2379880233.28977;2410728833.78012;2426561842.46219;2441780110.00936;2455353838.62516;2469541648.61036;2477976499.9036;2485790222.24326;2492165915.87572;2501624521.1968;2511084715.14883;2518282502.07124;2521983277.48093;2529801377.85409;2538437442.96557;2548928162.54619;2556950462.56554;2572989641.71811;2588615143.74345;2604244970.9789;2619261801.77402;2625634618.20493
