"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000387";"San Cristobal";0;573724091.475204;573724091.475204;573724091.475204;573724091.475204;571159949.772238;573724091.475204;573724091.475204;573724091.475204;573724091.475204;573724091.475204;573724091.475204;573724091.475204;573724091.475204;590177116.478955;592741218.770854;606416429.051244;617100212.636548;628852454.202591;638254251.899391;655562138.43401;669878502.031221;693596914.129456;715392026.509843;738682872.03314;753853979.430781;771161643.439303;792956682.178501;816674882.432137;889965404.037286;947657468.666954;967315463.767483;985264063.46693;999152864.822677;1004922081.31317;1009622908.15268;1014323748.29882;1020947720.86955;1025434849.47895;1029708406.39572;1032272488.6496;1034622906.5082;1038682742.76133;1039537433.88386;1041033161.43292;1044879288.39168;1047870723.43169;1054708338.15917;1056417740.08555;1063041678.22495;1069451921.1641;1077785231.94193;1084836510.65053;1087400611.77733
"2";"999900115002";"S-BP0011500-2";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1922928.48264877;3632200.05829871;10041914.4211081;12178482.485877;16878948.7501337;24784271.8881772;35253470.0867325;38031014.4113979;42517811.0335023;44868035.2986905;48072887.8377875;50850423.5995868;51918702.1236352;54696240.2951179;57260122.2789502;58542070.6038278;60251325.9137241;60892302.3714615;62815175.9118511;65592711.1807385;67515608.5351633;68370255.85526;72643356.6576368;74138951.3383695;77557441.2254378;83539819.3291685;89308535.4131857;93581632.4217148;103623459.423023;107041949.308666
"3";"999900115006";"S-BP0011500-6";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2136736.29375982;5128170.79383183;9187964.14513133;11111030.988676;15598200.9412499;44658110.3309978;56196578.1979089;60470078.0321125;64529905.6776987;67521374.1869144;68589761.4185119;69444472.3681205;70299178.9557132;72008588.8268609;74359037.9479856;75213720.9291542;76709447.8437907;76709447.8437907;77991513.0269186;78632540.2056742;79914592.8822183;80769296.9353045;82051347.8028856;82478705.9046887;83760764.8996308;85683853.0500765;92948982.0677085;94231041.9824359;96581501.342773;98931971.4792226
"4";"999900120001";"S-BP0012000-1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1495597.60568324;10041914.4211081;12178482.485877;16878948.7501337;24784271.8881772;35253470.0867325;38031014.4113979;42517811.0335023;44868035.2986905;48072887.8377875;50850423.5995868;51918702.1236352;54696240.2951179;57260122.2789502;58542070.6038278;60251325.9137241;60892302.3714615;62815175.9118511;65592711.1807385;67515608.5351633;68370255.85526;72643356.6576368;74138951.3383695;77557441.2254378;83539819.3291685;89308535.4131857;93581632.4217148;103623459.423023;107041949.308666
"5";"999900135005";"S-BP0013500-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4273530.12763885;44658110.3309978;56196578.1979089;60470078.0321125;64529905.6776987;67521374.1869144;68589761.4185119;69444472.3681205;70299178.9557132;72008588.8268609;74359037.9479856;75213720.9291542;76709447.8437907;76709447.8437907;77991513.0269186;78632540.2056742;79914592.8822183;80769296.9353045;82051347.8028856;82478705.9046887;83760764.8996308;85683853.0500765;92948982.0677085;94231041.9824359;96581501.342773;98931971.4792226
"6";"999001450010";"S-BP0014500-10";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2136734.86323705;967315463.767483;985264063.46693;999152864.822677;1004922081.31317;1009622908.15268;1014323748.29882;1020947720.86955;1025434849.47895;1029708406.39572;1032272488.6496;1034622906.5082;1038682742.76133;1039537433.88386;1041033161.43292;1044879288.39168;1047870723.43169;1054708338.15917;1056417740.08555;1063041678.22495;1069451921.1641;1077785231.94193;1084836510.65053;1087400611.77733
"7";"999900155003";"S-BP0015500-3";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1282041.06598714;1282041.06598714;1282041.06598714;1282041.06598714;1282041.06598714;1282041.06598714;1495715.42057852;1495715.42057852;1495715.42057852;1495715.42057852;1495715.42057852;1495715.42057852;1495715.42057852;1709388.92732794;1923062.67111371;1923062.67111371;1923062.67111371;2136736.29376057;7051221.33328303;7478573.67029163;7692243.26594749;7692243.26594749
"8";"999900160004";"S-BP0016000-4";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2350409.28275391;2564078.73319001;2564078.73319001;2564078.73319001;2777751.99538875;2991424.90192269;3205098.05527942;3418772.17908691;3418772.17908691;3418772.17908691;3632447.56351753;3632447.56351753;3846122.45259686;3846122.45259686;3846122.45259686;3846122.45259686;4059794.85887095;7051221.33328303;7478573.67029163;7692243.26594749;7692243.26594749
"9";"999001600010";"S-BP0016000-10";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1282145.35811399;2136909.68330787;2564291.78336637;2564291.78336637;2564291.78336637;3205364.11122312;3205364.11122312;3419055.16096837;3419055.16096837;3419055.16096837;3419055.16096837;3632746.15284795;3846437.27198972;3846437.27198972;4273818.41927122;4273818.41927122;4273818.41927122;4487510.82624239;4701201.74180228;4701201.74180228;4701201.74180228
"10";"999900220005";"S-BP0022000-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1282089.86301082;1923134.39912177;2136817.34150273;3846269.1160105;4487313.45588029;92948982.0677085;94231041.9824359;96581501.342773;98931971.4792226
