"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"999900000006";"S-AP0000000-6";0;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3205055.90901143;3418726.3644408;4059734.34271716;5555426.5243808;6837450.41732909;1467566981.97306;1511584675.70471;1566500071.17954;1632526501.30796;1720564143.15622;1770351331.6179;1834453571.68685;1888300417.15635;1987233381.46814;2033601325.81;2045994368.82026;2055823418.13395;2066293468.3175;2070994419.04882;2075267892.68786;2081037074.94319;2085524211.99481;2087660985.25477;2090438735.31044;2092361789.46594;2094925833.18688;2098130974.19512;2100481381.10869;2101549722.38681;2106891617.90481;2110310369.8366;2115011217.23857;2116720621.22103;2124840193.22462;2130395606.60247;2134455381.563;2139797203.52074;2144070713.02952
"2";"999000000012";"S-AP0000000-12";0;2564188.00021028;2564188.00021028;2564188.00021028;1495777.06398695;1495777.06398695;1495777.06398695;1495777.06398695;1495777.06398695;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;2564188.00021028;1398121734.94395;1424831487.14146;1467566981.97306;1511584675.70471;1566500071.17954;1632526501.30796;1720564143.15622;1770351331.6179;1834453571.68685;1888300417.15635;1987233381.46814;2033601325.81;2045994368.82026;2055823418.13395;2066293468.3175;2070994419.04882;2075267892.68786;2081037074.94319;2085524211.99481;2087660985.25477;2090438735.31044;2092361789.46594;2094925833.18688;2098130974.19512;2100481381.10869;2101549722.38681;2106891617.90481;2110310369.8366;2115011217.23857;2116720621.22103;2124840193.22462;2130395606.60247;2134455381.563;2139797203.52074;2144070713.02952
"3";"000093";"Isabela";0;1322692701.58991;1322692701.58991;1321197014.54238;1315213755.8012;1315213755.8012;1315213755.8012;1315213755.8012;1315213755.8012;1322692701.58991;1322692701.58991;1322692701.58991;1322692701.58991;1322692701.58991;1339574497.66708;1339788200.87748;1340642902.2557;1349189842.30854;1365856418.97772;1398121734.94395;1424831487.14146;1467566981.97306;1511584675.70471;1566500071.17954;1632526501.30796;1720564143.15622;1770351331.6179;1834453571.68685;1888300417.15635;1987233381.46814;2033601325.81;2045994368.82026;2055823418.13395;2066293468.3175;2070994419.04882;2075267892.68786;2081037074.94319;2085524211.99481;2087660985.25477;2090438735.31044;2092361789.46594;2094925833.18688;2098130974.19512;2100481381.10869;2101549722.38681;2106891617.90481;2110310369.8366;2115011217.23857;2116720621.22103;2124840193.22462;2130395606.60247;2134455381.563;2139797203.52074;2144070713.02952
"4";"999000000014";"S-AP0000000-14";0;4487492.36393655;4487492.36393655;4487492.36393655;3846421.62079786;3846421.62079786;3846421.62079786;3846421.62079786;3846421.62079786;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;4487492.36393655;1566500071.17954;1632526501.30796;1720564143.15622;1770351331.6179;1834453571.68685;1888300417.15635;1987233381.46814;2033601325.81;2045994368.82026;2055823418.13395;2066293468.3175;2070994419.04882;2075267892.68786;2081037074.94319;2085524211.99481;2087660985.25477;2090438735.31044;2092361789.46594;2094925833.18688;2098130974.19512;2100481381.10869;2101549722.38681;2106891617.90481;2110310369.8366;2115011217.23857;2116720621.22103;2124840193.22462;2130395606.60247;2134455381.563;2139797203.52074;2144070713.02952
"5";"999000000015";"S-AP0000000-15";0;4701227.08595686;4701227.08595686;4701227.08595686;4487535.51047165;4487535.51047165;4487535.51047165;4487535.51047165;4487535.51047165;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;4701227.08595686;1720564143.15622;1770351331.6179;1834453571.68685;1888300417.15635;1987233381.46814;2033601325.81;2045994368.82026;2055823418.13395;2066293468.3175;2070994419.04882;2075267892.68786;2081037074.94319;2085524211.99481;2087660985.25477;2090438735.31044;2092361789.46594;2094925833.18688;2098130974.19512;2100481381.10869;2101549722.38681;2106891617.90481;2110310369.8366;2115011217.23857;2116720621.22103;2124840193.22462;2130395606.60247;2134455381.563;2139797203.52074;2144070713.02952
"6";"002292";"Rabida";0;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;7051898.5180529;8120368.10366061;837690883.939786;848803042.851837;856709798.429279;861197416.839802;863548072.706393;867180915.240728;871027432.220824;875301354.234055;876583531.269665;877438314.123993;879361573.560479;881498536.061425;883421794.030546;885558773.058693;887054645.32289;889619002.439828;891328576.504948;894534013.472528;894961403.252457;897525759.761249;901158583.657548;905005117.754037;908210558.727403;910774906.899414
"7";"000373";"Santiago";0;597069058.769285;597069058.769285;597069058.769285;596641668.379456;596000576.702085;596000576.702085;597069058.769285;596855363.527341;597069058.769285;597069058.769285;597069058.769285;597069058.769285;597069058.769285;598564920.886219;600701874.323137;602625136.726529;609463408.835226;613096254.672185;619507156.851796;634893301.361536;653057515.004663;666947789.888131;685966809.684397;703703608.646512;716311724.103563;729347204.543177;753281061.722297;766530207.133635;799225709.442423;837690883.939786;848803042.851837;856709798.429279;861197416.839802;863548072.706393;867180915.240728;871027432.220824;875301354.234055;876583531.269665;877438314.123993;879361573.560479;881498536.061425;883421794.030546;885558773.058693;887054645.32289;889619002.439828;891328576.504948;894534013.472528;894961403.252457;897525759.761249;901158583.657548;905005117.754037;908210558.727403;910774906.899414
"8";"000799";"Santa Maria";0;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;92510818.9237332;96570153.412389;97424742.4063559;99347766.4990942;99988925.0518578;100202574.230461;101057173.751708;101484476.019143;101911773.679852;103193659.676675;104902972.109471;106184865.391274;108107710.590647;110671637.748155;117722134.787936;120713251.647763;126268399.488706;132250723.513104;133746422.346066;135455582.845313;138660324.435229;140156030.055199;141010589.125242;141865189.804659;142933425.8347;143147076.330887;143574376.322975;143788025.832624;144001676.487158;145497226.618572;146351836.187342;146779132.858556;147633731.838082;148488336.230446;149129279.245798;150197687.510324;151052281.889524;152334184.165487;152975143.006753;153829739.990663;154684318.09393
"9";"002290";"Santa Fe";0;30128615.7809615;30128615.7809615;30128615.7809615;30128615.7809615;29487578.4535483;29487578.4535483;30128615.7809615;30128615.7809615;30128615.7809615;30128615.7809615;30128615.7809615;30128615.7809615;30128615.7809615;30983327.4498737;30983327.4498737;32051718.8427463;33547467.9274262;35043221.1246402;35897937.1798894;36752655.2905591;38675757.7152961;39316791.2772239;45086101.3453399;47436555.4874236;52137465.4036833;60898252.3818346;71368433.1477376;111112047.68297;163249218.48186;207266774.106583;222865292.173977;242951154.985079;269661158.869356;303209263.334362;309405977.490114;320731056.146776;330132980.573836;338680174.59324;348295776.206068;358552440.761851;363039742.488909;367740696.258021;2817829365.55716;2849453635.2289;2869966797.2539;2897958729.12588;2933642971.89301;2971464036.45352;3017832408.21568;3077448952.26379;3128304790.58544;3182152138.00794;3223605904.18695
"10";"999000000023";"S-AP0000000-23";0;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3418859.30127472;3846217.29728734;207266774.106583;222865292.173977;242951154.985079;269661158.869356;303209263.334362;309405977.490114;320731056.146776;330132980.573836;338680174.59324;348295776.206068;358552440.761851;363039742.488909;367740696.258021;2817829365.55716;2849453635.2289;2869966797.2539;2897958729.12588;2933642971.89301;2971464036.45352;3017832408.21568;3077448952.26379;3128304790.58544;3182152138.00794;3223605904.18695
