"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"005040";"Ilhéu Raso";0;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7584878.19832873;7789871.04833233;7994868.23893273;7994868.23893273;7994868.23893273;8609855.70129263;8814854.49232209;8814854.49232209;22756043.9049556;27881141.3437896;40386411.6236205;42846141.1240993;44691271.0566957;47356052.7174304;48381112.6514667;49201078.1846122;49816150.1334687;50841144.2116172;52686463.7582554;54326523.4783303;54531568.1197733;55556705.8126873;57607077.05779;57607077.05779;58427035.1755358;58632082.0935324;60067172.8353288;61297162.1576674;63757563.1501547;66012993.7822999;67038066.9950922;70317766.2044915;71752787.7416074;72572837.6753038
"2";"999900000002";"S-AP0000000-2";0;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;1229824.49678516;40386411.6236205;42846141.1240993;44691271.0566957;47356052.7174304;48381112.6514667;49201078.1846122;49816150.1334687;50841144.2116172;52686463.7582554;54326523.4783303;54531568.1197733;55556705.8126873;57607077.05779;57607077.05779;58427035.1755358;58632082.0935324;60067172.8353288;61297162.1576674;63757563.1501547;66012993.7822999;67038066.9950922;70317766.2044915;71752787.7416074;72572837.6753038
"3";"005042";"Ilha de Santa Luzia";0;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701;49571486.8500701
"4";"000672";"Sao Vicente";0;268030420.808893;268030420.808893;268030420.808893;268030420.808893;268030420.808893;268030420.808893;268030420.808893;268030420.808893;268030420.808893;268030420.808893;269463703.413499;269463703.413499;269463703.413499;269463703.413499;269668438.285194;270282711.119944;270896871.672867;271715848.641784;273149027.278572;278267551.672803;280929109.961268;285024104.117692;291780649.6363;300994061.118905;304269865.800215;313278371.179499;319829091.017928;343778005.912316;381035816.362205;396595678.793001;400075800.336171;403761211.448515;407037270.006914;409289556.445136;409903532.666693;411131655.278163;411336464.862512;413384137.942306;413588806.635444;414407688.25364;415636188.855818;416660189.859617;417274435.588074;417888782.418673;418503089.703491;419116904.919541;419935579.630585;420344997.92406;421982320.238551;423211027.031864;425053420.443552;426895749.110847;427714714.682466
"5";"999900000009";"S-AP0000000-9";0;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875;3479690.50785875
"6";"000310";"Santo Antao";0;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;857805053.0334;858009637.057103;859237073.338725;859441609.447415;860260053.836981;861078331.47103;861692096.267976;863328862.411414;863942614.90245;865374788.052664;866193166.860989;867625380.685784;871513586.541631;874991853.47257;876219229.302528;877651583.293399;878878952.219023;880106350.845444;880924464.357214;881742787.268066;882356441.072332;882765525.339098;883379084.248145;883788155.40367;884402015.620819;884811237.558173;885015739.702754;885424634.81356;885629076.712098;885833718.8674;886652004.75337;886856473.47707;888288746.385781;888902704.204339;889925587.055976;890334606.993899;891152934.075692
"7";"999900105007";"S-BP0010500-7";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1230192.40950871;1640222.86792648;2665393.88609231;3280479.02686334;4100629.82052553;10251051.1849667;22756043.9049556;27881141.3437896;40386411.6236205;42846141.1240993;44691271.0566957;47356052.7174304;48381112.6514667;49201078.1846122;49816150.1334687;50841144.2116172;52686463.7582554;54326523.4783303;54531568.1197733;55556705.8126873;57607077.05779;57607077.05779;58427035.1755358;58632082.0935324;60067172.8353288;61297162.1576674;63757563.1501547;66012993.7822999;67038066.9950922;70317766.2044915;71752787.7416074;72572837.6753038
"8";"999900125008";"S-BP0012500-8";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2255183.4663682;10251051.1849667;22756043.9049556;27881141.3437896;40386411.6236205;42846141.1240993;44691271.0566957;47356052.7174304;48381112.6514667;49201078.1846122;49816150.1334687;50841144.2116172;52686463.7582554;54326523.4783303;54531568.1197733;55556705.8126873;57607077.05779;57607077.05779;58427035.1755358;58632082.0935324;60067172.8353288;61297162.1576674;63757563.1501547;66012993.7822999;67038066.9950922;70317766.2044915;71752787.7416074;72572837.6753038
"9";"999900185005";"S-BP0018500-5";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1228016.57789576;1228016.57789576;1228016.57789576;1432683.43380487;1432683.43380487;1432683.43380487;1432683.43380487;1432683.43380487;1432683.43380487;1432683.43380487;1432683.43380487;1432683.43380487;1637369.30658162;1842033.57974279;1842033.57974279;1842033.57974279
"10";"999002250010";"S-BP0022500-10";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1230191.26141167;1640253.19200909;63757563.1501547;66012993.7822999;67038066.9950922;70317766.2044915;71752787.7416074;72572837.6753038
