"";"recid";"recname";"iso";"AP0000000";"BP0000500";"BP0001000";"BP0001500";"BP0002000";"BP0002500";"BP0003000";"BP0003500";"BP0004000";"BP0004500";"BP0005000";"BP0005500";"BP0006000";"BP0006500";"BP0007000";"BP0007500";"BP0008000";"BP0008500";"BP0009000";"BP0009500";"BP0010000";"BP0010500";"BP0011000";"BP0011500";"BP0012000";"BP0012500";"BP0013000";"BP0013500";"BP0014000";"BP0014500";"BP0015000";"BP0015500";"BP0016000";"BP0016500";"BP0017000";"BP0017500";"BP0018000";"BP0018500";"BP0019000";"BP0019500";"BP0020000";"BP0020500";"BP0021000";"BP0021500";"BP0022000";"BP0022500";"BP0023000";"BP0023500";"BP0024000";"BP0024500";"BP0025000";"BP0025500";"BP0026000"
"1";"000550";"Gomera";0;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370332795.709177;370521920.556925;370521920.556925;370521920.556925;370899819.209242;372978813.520815;375814471.874496;379783835.173699;384887566.35904;394149596.612772;405679483.962829;419098552.783164;434597666.452183;445183904.589108;456524909.813853;472970422.871282;490545563.079522;532118367.70888;590684553.313864;611464800.709324;632240305.767703;645086249.024031;652452077.609948;658497894.989084;662842654.886393;668321265.002784;670776941.282812;673421540.491507;676442859.719846;678710435.691985;682674843.375363;684374399.921663;686452704.570401;689477044.819821;693820701.523474;696087830.316124;698921974.190834;702320302.44632;706664665.913506;710631351.331783;713086628.975865;714977132.900733
"2";"000166";"Tenerife";0;1994339394.3845;1994339394.3845;1994339394.3845;1994339394.3845;1994339394.3845;1994339394.3845;1994339394.3845;1994339394.3845;2021522322.7688;2021522322.7688;2021522322.7688;2030956742.61355;2030956742.61355;2038313343.3674;2048316055.36419;2068313293.53905;2083219409.93487;2102654572.0246;2125663452.223;2195962145.00223;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"3";"000206";"Gran Canaria";0;271537928.411971;271537928.411971;271537928.411971;271537928.411971;271537928.411971;271537928.411971;271537928.411971;271537928.411971;271537928.411971;272484061.605079;272484061.605079;272484061.605079;272484061.605079;272673465.750929;272673465.750929;273430649.233802;274567698.350154;277408395.653089;281574854.31134;290096892.660757;303733831.98;327226844.501553;352231284.356106;390862474.158769;438412373.019969;475720821.224629;509804517.321944;565074416.77753;694363041.74093;734289322.344389;740721941.222362;746400555.807776;749805840.24868;751885578.683756;752832361.564261;754155900.620809;755670956.235938;756427743.766906;757184449.940593;757941860.437626;758887835.94389;759266472.647144;760591196.463912;761159208.289033;762483398.785222;763050323.074452;764754202.240778;766459288.3086;767026232.819645;768162155.835932;769487942.94583;771002270.057991;771758346.628285
"4";"999000400012";"S-BP0004000-12";0;NA;NA;NA;NA;NA;NA;NA;NA;6775173.63986063;6775173.63986063;6775173.63986063;6775173.63986063;6775173.63986063;7151603.87222099;7151603.87222099;7528013.23091221;8092627.74293852;9033496.19029713;9786332.85487342;10915508.2337537;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"5";"999000700019";"S-BP0007000-19";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1694627.68855643;1694627.68855643;1694627.68855643;2636021.4017024;4142025.32622313;2195962145.00223;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"6";"999000750033";"S-BP0007500-33";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1317436.92739654;1882096.65064192;9786640.90300155;13363064.2833898;2195962145.00223;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"7";"999000800026";"S-BP0008000-26";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2070493.86578321;9786640.90300155;13363064.2833898;2195962145.00223;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"8";"999000800031";"S-BP0008000-31";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1318760.07485747;1507154.56844378;1507154.56844378;1695539.02358055;1883933.51716733;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"9";"999000800039";"S-BP0008000-39";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1129219.32129884;9786640.90300155;13363064.2833898;2195962145.00223;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
"10";"999000850029";"S-BP0008500-29";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1507038.05010128;1507038.05010128;2195962145.00223;2283206829.31827;2327142348.3799;2357522080.67573;2385064605.20421;2410341301.4054;2429024547.21655;2458650684.50354;2474683515.40213;2510328810.13176;2539756373.4712;2545795913.64289;2554664167.61982;2561455135.97594;2565983698.06645;2568624752.99179;2569757697.65912;2572585806.13134;2574472569.74862;2575792697.95901;2578245518.81446;2580132136.22959;2581642263.59002;2583339446.66126;2584470799.33231;2587112385.00744;2590130713.33732;2592770794.10316;2596356596.56864;2598241776.95532;2601449614.68165;2604279466.85125;2607487257.16504;2609186149.04688
